Page ID,Page Name,Disclaimer,Amount Spent (USD)﻿
107477490856914,Pseudo Party,These ads ran without a disclaimer,≤100
111493630325090,francesco_anselmi_photo,These ads ran without a disclaimer,≤100
101344601427566,Smile Aisle,These ads ran without a disclaimer,≤100
588393474666340,RPD Energy,These ads ran without a disclaimer,≤100
7100914121,American Experience | PBS,These ads ran without a disclaimer,≤100
205148492837912,We Are Ohio,We Are Ohio,≤100
536608853099667,Autumn Burke,Autumn Burke for Assembly 2020,≤100
16534314739,Facing History and Ourselves,"FACING HISTORY AND OURSELVES NATIONAL FOUNDATION, INC.",213
265045056894488,Mark Meckler,Convention of States Action,≤100
100811141504334,BFFBooks,Alexander Bruen Trevor,≤100
493144170708691,Grace Place School,Grace Place School,≤100
56349854459,Parkinson's Foundation,Parkinson's Foundation,1607
17432811417,Working Families Party,Working Families Party National Political Action Committee,≤100
355223168416491,Alex Morse for Congress,ALEX MORSE FOR CONGRESS,≤100
156468627834558,Speak Out HK 港人講地,These ads ran without a disclaimer,≤100
277005566267077,Blueland,These ads ran without a disclaimer,5198
108814673920525,Make America Grey Again,These ads ran without a disclaimer,≤100
100363521439862,Trump Vip Club,Kory Alden,≤100
562149327457702,Andrew Yang,FRIENDS OF ANDREW YANG,2821
2220283434674467,Engage Texas,ENGAGE TEXAS,14389
167418116629106,Austin Street Center,SHELTER MINISTRIES OF DALLAS,2032
1617152471878392,Anglican Mainstream,These ads ran without a disclaimer,≤100
100935474627180,Lisa Savage for US Senate,LISAFORMAINE,≤100
109845417186584,Collins Otonna for Baltimore,These ads ran without a disclaimer,≤100
210357995667559,The National Memo,The National Memo,≤100
355022521685775,"Hence, The Future Podcast",Matthew Mattimore Cronin,≤100
541807025833154,Malala Fund,Malala Fund,261
850987751583079,Windermere Sun,These ads ran without a disclaimer,≤100
1716212215318997,Epolitics.com,Colin Patrick Delany,≤100
6012633110,Communications Workers of America,COMMUNICATIONS WORKERS OF AMERICA WORKING VOICES,893
141777479219831,Barrier Breakers Entertainment,These ads ran without a disclaimer,≤100
1488558181449522,FutureinAmerica,John Murphy,≤100
1493933237544434,Vote State Representative Paul Frost,Red Massachusetts Grassroots Action,≤100
457150451764788,Charles Navarro,NAVARRO FOR NEVADA,≤100
